Record ID,Data de criação,Data da última modificação,Data da última atividade,Data de fechamento,Etapa do negócio,Valor,Valor do contrato anual,Receita anual recorrente,Valor total do contrato,Valor previsto,Valor na moeda da empresa,Valor do negócio projetado na moeda local,Valor do negócio projetado,Motivo de fechamento perdido,Data da próxima atividade,Nome da empresa,Nome do negócio completo,Setor,ultima_etapa,Nome do negócio
13888615997,2023-06-27 17:54,2023-07-04 16:53,2023-06-29 15:45,,Negócio perdido,,,,,,,,,Timing; Maturação,,ARTECOLA QUÍMICA,Artecola Química,,Agendamento_Aceito,Artecola Química
13868666770,2023-06-26 15:03,2023-07-19 15:25,2023-06-29 13:29,,Agendamentos Aceitos (SAL),,,,,,,,,,,HOSPITAL MOINHOS,Hospital Moinhos de Vento,Hospital e cuidados de saúde ,Agendamento_Aceito,Hospital Moinhos de Vento
13804730662,2023-06-21 10:37,2023-07-19 15:17,2023-06-21 10:58,,Agendamentos Aceitos (SAL),,,,,,,,,,,PALLADIUM HOTEL,Palladium Hotel,,Agendamento_Aceito,Palladium Hotel
13716191897,2023-06-14 22:57,2023-07-20 11:39,2023-06-22 16:00,,Negócio perdido,,,,,,,,,Não é ICP; Nós Declinamos,,UNIMED,Unimed,"Saúde, bem-estar e fitness",Agendamento_Aceito,Unimed
13691308357,2023-06-13 14:16,2023-07-12 08:28,2023-07-10 15:24,,Agendamentos Aceitos (SAL),,,,,,,,,,,MELIÃ HOTELS,Meliá Hotels,Software de computador,Agendamento_Aceito,Meliá Hotels
13691851841,2023-06-13 12:26,2023-07-07 09:45,2023-07-04 16:44,,Negócio perdido,,,,,,,,,Maturação; Timing,2023-12-15 10:00,ECOGEN BRASIL,Ecogen Brasil,Petróleo e energia,Diagnostico,Ecogen Brasil
13690301517,2023-06-13 10:58,2023-06-21 12:13,2023-06-21 10:35,,Agendamentos Aceitos (SAL),,,,,,,,,,,PALLADIUM HOTEL,Palladium Hotel,Hotelaria ,Agendamento_Aceito,Palladium Hotel
13489361412,2023-05-29 12:49,2023-06-29 08:20,2023-06-29 08:20,,Agendamentos (MQL),,,,,,,,,,,HYDAC,Hydac,Maquinário,Agendamentos,Hydac
13422604381,2023-05-23 09:14,2023-07-19 10:21,2023-06-14 14:58,,Agendamentos Aceitos (SAL),,,,,,,,,,,COOXUPÉ,Cooxupé,Armazenamento,Agendamento_Aceito,Cooxupé - Ecommerce
13411720787,2023-05-22 09:34,2023-06-19 17:00,2023-06-05 19:27,,Negócio perdido,,,,,,,,,Maturação; Fechou com Concorrente,,VAGAS.COM,VAGAS.com,Software de computador,Negocios_Criados,VAGAS.com
13389429885,2023-05-19 13:51,2023-06-16 12:17,2023-06-14 10:03,,Agendamentos Aceitos (SAL),,,,,,,,,,,HEINEKEN,Heineken,Alimentos e bebidas,Agendamento_Aceito,Heineken
13357688177,2023-05-16 16:10,2023-06-28 14:29,2023-05-17 15:23,,Agendamentos Aceitos (SAL),,,,,,,,,,,COOXUPÉ,Cooxupé,Armazenamento,Agendamento_Aceito,Cooxupé
13356360793,2023-05-16 15:17,2023-05-16 15:23,2023-05-16 15:17,,Agendamentos (MQL),,,,,,,,,,,VENCE TUDO,Vence Tudo,Agricultura ,Agendamentos,Vence Tudo
13316079946,2023-05-12 15:06,2023-07-19 15:43,2023-05-30 15:49,,Negócio perdido,,,,,,,,,Financeiro; Sumiu,,SUPER MIX,Super Prix,,Agendamento_Aceito,Super Prix
13315910518,2023-05-12 14:24,2023-05-17 14:10,2023-05-17 14:10,,Agendamentos (MQL),,,,,,,,,,,GRUPO CURIMBABA,Grupo Curimbaba,,Agendamentos,Grupo Curimbaba
13279967134,2023-05-09 14:47,2023-07-19 15:13,2023-05-11 17:28,,Negócio perdido,,,,,,,,,Financeiro; Nós Declinamos,,BRASIL ATACADISTA,Brasil Atacadista,Atacado ,Agendamento_Aceito,Brasil Atacadista
13205725995,2023-05-02 11:32,2023-07-19 15:36,2023-05-19 15:03,,Negócio perdido,,,,,,,,,Sumiu; Nós Declinamos; Não é ICP,,SAÚDE PETROBRÁS,Saúde Petrobrás,Petróleo e energia ,Agendamento_Aceito,Saúde Petrobrás
13159599031,2023-04-27 12:10,2023-05-12 10:55,2023-05-09 10:53,,Agendamentos Aceitos (SAL),,,,,,,,,,,EUROBIKE,Eurobike,Automotivo,Agendamento_Aceito,Eurobike
13057235528,2023-04-19 10:03,2023-07-19 15:08,2023-05-31 10:30,,Negócio perdido,,,,,,,,,Timing; Nós Declinamos; Maturação,,COCAL,Cocal,Agricultura ,Agendamento_Aceito,Cocal
